sProgress_id, progress_id, student_id, class_id, year_id
1,1,26,1,1
2,2,15,1,1
3,3,13,1,1
4,4,36,1,1
5,5,21,1,1
6,6,9,1,1
7,7,8,1,1
8,8,6,1,1
9,9,46,1,1
10,10,47,1,1
11,11,3,1,1
12,12,35,1,1
13,13,44,2,1
14,14,50,2,1
15,15,18,2,1
16,16,48,2,1
17,17,29,2,1
18,18,2,2,1
19,19,37,2,1
20,20,28,2,1
21,21,7,2,1
22,22,30,2,1
23,23,11,2,1
24,24,33,2,1
25,25,14,2,1
26,26,18,2,1
27,27,22,3,1
28,28,39,3,1
29,29,43,3,1
30,30,32,3,1
31,31,4,3,1
32,32,49,3,1
33,33,34,3,1
34,34,38,3,1
35,35,23,3,1
36,36,24,3,1
37,37,25,3,1
38,38,19,3,1
39,39,17,3,1
41,1000,1000,1,1
42,40,51,4,1
43,41,52,4,1
44,42,53,4,1
45,43,54,4,1
