id, class_id, progress_id, grade, year_id, sem
1,1,1,11,1,2
2,1,2,11,1,2
3,1,3,11,1,2
4,1,4,11,1,2
5,1,5,11,1,2
6,1,6,11,1,2
7,1,7,11,1,2
8,1,8,11,1,2
9,4,9,12,2,1
10,4,10,11,1,1
11,4,11,10,2,2
12,4,12,12,2,2
13,4,13,10,1,2
14,4,14,12,2,2
15,4,15,12,1,1
16,4,16,10,2,1
17,4,17,12,1,1
18,4,18,10,1,2
19,4,19,11,2,1
20,4,20,10,1,1
21,4,21,12,1,1
22,4,22,11,1,1
23,4,23,10,1,1
24,4,24,10,1,2
25,4,25,10,1,2
26,4,26,10,1,1
27,4,27,12,1,1
28,4,28,12,2,2
29,4,29,12,2,1
30,4,30,10,2,2
31,4,31,12,2,2
32,4,32,12,1,1
33,4,33,11,2,1
34,4,34,10,1,2
35,4,35,10,2,1
36,4,36,11,1,1
37,4,37,10,2,1
38,4,38,11,1,2
39,2,39,11,1,2
40,2,40,11,1,2
42,2,41,11,1,2
43,3,42,11,1,2
44,6,43,12,1,2
45,6,44,11,1,2
46,6,45,12,1,2
47,6,46,12,1,2
48,6,47,11,1,2
49,6,48,11,1,2
50,6,49,11,1,2
51,6,50,11,1,2
52,6,51,12,1,2
53,6,52,12,1,2
54,6,53,11,1,2
55,6,54,11,1,2
56,6,55,12,1,2
57,6,56,11,1,2
58,6,57,11,1,2
59,6,58,11,1,2
60,6,59,11,1,2
61,6,60,12,1,2
62,6,61,12,1,2
63,6,62,12,1,2
64,6,63,12,1,2
65,6,64,12,1,2
66,6,65,11,1,2
67,6,66,12,1,2
68,6,67,11,1,2
69,6,68,11,1,2
70,6,69,12,1,2
71,6,70,12,1,2
72,6,71,11,1,2
73,6,72,11,1,2
74,3,73,11,1,2
75,4,74,11,1,1
76,7,75,0,1,2
77,7,76,0,1,2
78,7,77,0,1,2
79,7,78,0,1,2
80,7,79,0,1,2
81,7,80,0,1,2
82,7,81,0,1,2
83,11,82,0,1,2
84,12,83,0,1,2
85,83,84,0,1,2
86,122,85,0,1,2
87,11,86,0,1,2
88,12,87,0,1,2
89,27,88,0,1,2
90,33,89,0,1,2
91,11,90,0,1,2
92,27,91,0,1,2
93,124,92,0,1,2
94,184,93,0,1,2
95,11,94,0,1,2
96,12,95,0,1,2
97,101,96,0,1,2
98,128,97,0,1,2
99,11,98,0,1,2
100,66,99,0,1,2
101,128,100,0,1,2
102,11,101,0,1,2
103,99,102,0,1,2
104,153,103,0,1,2
105,158,104,0,1,2
106,11,105,0,1,2
107,84,106,0,1,2
108,147,107,0,1,2
109,188,108,0,1,2
110,11,109,0,1,2
111,12,110,0,1,2
112,81,111,0,1,2
113,111,112,0,1,2
114,11,113,0,1,2
115,13,114,0,1,2
116,84,115,0,1,2
117,94,116,0,1,2
118,11,117,0,1,2
119,14,118,0,1,2
120,31,119,0,1,2
121,11,120,0,1,2
122,110,121,0,1,2
123,119,122,0,1,2
124,11,123,0,1,2
125,66,124,0,1,2
126,88,125,0,1,2
127,11,126,0,1,2
128,188,127,0,1,2
129,192,128,0,1,2
130,11,129,0,1,2
131,12,130,0,1,2
132,32,131,0,1,2
133,84,132,0,1,2
134,11,133,0,1,2
135,23,134,0,1,2
136,86,135,0,1,2
137,171,136,0,1,2
138,11,137,0,1,2
139,12,138,0,1,2
140,54,139,0,1,2
141,105,140,0,1,2
142,11,141,0,1,2
143,125,142,0,1,2
144,161,143,0,1,2
145,168,144,0,1,2
146,11,145,0,1,2
147,12,146,0,1,2
148,159,147,0,1,2
149,11,148,0,1,2
150,56,149,0,1,2
151,11,150,0,1,2
152,108,151,0,1,2
153,110,152,0,1,2
154,155,153,0,1,2
155,11,154,0,1,2
156,12,155,0,1,2
157,88,156,0,1,2
158,94,157,0,1,2
159,11,158,0,1,2
160,117,159,0,1,2
161,126,160,0,1,2
162,165,161,0,1,2
163,11,162,0,1,2
164,33,163,0,1,2
165,83,164,0,1,2
166,123,165,0,1,2
167,11,166,0,1,2
168,12,167,0,1,2
169,33,168,0,1,2
170,12,169,0,1,2
171,129,170,0,1,2
172,166,171,0,1,2
173,171,172,0,1,2
174,12,173,0,1,2
175,86,174,0,1,2
176,128,175,0,1,2
177,171,176,0,1,2
178,12,177,0,1,2
179,78,178,0,1,2
180,105,179,0,1,2
181,109,180,0,1,2
182,12,181,0,1,2
183,127,182,0,1,2
184,12,183,0,1,2
185,101,184,0,1,2
186,166,185,0,1,2
187,12,186,0,1,2
188,54,187,0,1,2
189,110,188,0,1,2
190,192,189,0,1,2
191,12,190,0,1,2
192,32,191,0,1,2
193,171,192,0,1,2
194,12,193,0,1,2
195,128,194,0,1,2
196,12,195,0,1,2
197,19,196,0,1,2
198,53,197,0,1,2
199,105,198,0,1,2
200,12,199,0,1,2
201,86,200,0,1,2
202,94,201,0,1,2
203,171,202,0,1,2
204,12,203,0,1,2
205,166,204,0,1,2
206,12,205,0,1,2
207,129,206,0,1,2
208,166,207,0,1,2
209,171,208,0,1,2
210,12,209,0,1,2
211,127,210,0,1,2
212,166,211,0,1,2
213,12,212,0,1,2
214,28,213,0,1,2
215,84,214,0,1,2
216,119,215,0,1,2
217,12,216,0,1,2
218,88,217,0,1,2
219,108,218,0,1,2
220,110,219,0,1,2
221,12,220,0,1,2
222,86,221,0,1,2
223,127,222,0,1,2
224,186,223,0,1,2
225,12,224,0,1,2
226,115,225,0,1,2
227,129,226,0,1,2
228,186,227,0,1,2
229,12,228,0,1,2
230,32,229,0,1,2
231,88,230,0,1,2
232,108,231,0,1,2
233,12,232,0,1,2
234,54,233,0,1,2
235,87,234,0,1,2
236,128,235,0,1,2
237,12,236,0,1,2
238,32,237,0,1,2
239,127,238,0,1,2
240,12,239,0,1,2
241,19,240,0,1,2
242,27,241,0,1,2
243,28,242,0,1,2
244,12,243,0,1,2
245,87,244,0,1,2
246,88,245,0,1,2
247,128,246,0,1,2
248,12,247,0,1,2
249,32,248,0,1,2
250,87,249,0,1,2
251,88,250,0,1,2
252,12,251,0,1,2
253,60,252,0,1,2
254,127,253,0,1,2
255,12,254,0,1,2
256,94,255,0,1,2
257,105,256,0,1,2
258,127,257,0,1,2
259,12,258,0,1,2
